"linha","ano","mes","parlamentar","gasto","valor"
"1",2015,"01","ANA PAULA CRUZ","Serviços Técnicos Profissionais",9000
"2",2015,"01","ANTONIO CARLOS","Serviços Gráficos e Editoriais",3000
"3",2015,"01","ANTONIO CARLOS","Serviços Técnicos Profissionais",16000
"4",2015,"01","ANTONIO GRANJA","Combustíveis e Lubrificantes Automotivos",6000
"5",2015,"01","ANTONIO GRANJA","Serviços Técnicos Profissionais",8000
"6",2015,"01","ANTONIO GRANJA","Serviços de Telecomunicações",992.22
"7",2015,"01","ANTONIO GRANJA","Vale-Refeição e Vale-Alimentação",4000
"8",2015,"01","AUGUSTINHO MOREIRA","Combustíveis e Lubrificantes Automotivos",6000
"9",2015,"01","AUGUSTINHO MOREIRA","Divulgação das Atividades Parlamentares",4600
"10",2015,"01","AUGUSTINHO MOREIRA","Serviços Técnicos Profissionais",16000
"11",2015,"01","AUGUSTINHO MOREIRA","Serviços de Telecomunicações",169.54
"12",2015,"01","AUGUSTINHO MOREIRA","Vale-Refeição e Vale-Alimentação",2360
"13",2015,"01","BETHROSE","Combustíveis e Lubrificantes Automotivos",4000
"14",2015,"01","BETHROSE","Convênio com Plano de Saúde",1124.36
"15",2015,"01","BETHROSE","Divulgação das Atividades Parlamentares",7000
"16",2015,"01","BETHROSE","Serviços Técnicos Profissionais",14000
"17",2015,"01","BETHROSE","Serviços de Telecomunicações",1095.17
"18",2015,"01","BETHROSE","Vale-Refeição e Vale-Alimentação",1000
"19",2015,"01","CARLOMANO MARQUES","Combustíveis e Lubrificantes Automotivos",6000
"20",2015,"01","CARLOMANO MARQUES","Divulgação das Atividades Parlamentares",8000
"21",2015,"01","CARLOMANO MARQUES","Serviços Técnicos Profissionais",14000
"22",2015,"01","CARLOMANO MARQUES","Serviços de Telecomunicações",770.43
"23",2015,"01","DANNIEL OLIVEIRA","Combustíveis e Lubrificantes Automotivos",6000
"24",2015,"01","DANNIEL OLIVEIRA","Serviços de Telecomunicações",250.56
"25",2015,"01","DANNIEL OLIVEIRA","Vale-Refeição e Vale-Alimentação",4000
"26",2015,"01","DEDE TEIXEIRA","Combustíveis e Lubrificantes Automotivos",6000
"27",2015,"01","DEDE TEIXEIRA","Serviços de Telecomunicações",1525.95
"28",2015,"01","DEDE TEIXEIRA","Vale-Refeição e Vale-Alimentação",3380
"29",2015,"01","DELEGADO CAVALCANTE","Combustíveis e Lubrificantes Automotivos",6000
"30",2015,"01","DELEGADO CAVALCANTE","Serviços Gráficos e Editoriais",6000
"31",2015,"01","DELEGADO CAVALCANTE","Serviços Técnicos Profissionais",8000
"32",2015,"01","DELEGADO CAVALCANTE","Serviços de Telecomunicações",201.24
"33",2015,"01","DELEGADO CAVALCANTE","Vale-Refeição e Vale-Alimentação",4000
"34",2015,"01","DR. SARTO","Combustíveis e Lubrificantes Automotivos",6000
"35",2015,"01","DR. SARTO","Vale-Refeição e Vale-Alimentação",4000
"36",2015,"01","DRA SILVANA","Combustíveis e Lubrificantes Automotivos",6000
"37",2015,"01","DRA SILVANA","Serviços Técnicos Profissionais",16000
"38",2015,"01","DRA SILVANA","Vale-Refeição e Vale-Alimentação",4000
"39",2015,"01","ELIANE NOVAES","Combustíveis e Lubrificantes Automotivos",6000
"40",2015,"01","ELIANE NOVAES","DESPESAS DE TELEPROCESSAMENTO",1080
"41",2015,"01","ELIANE NOVAES","Divulgação das Atividades Parlamentares",5200
"42",2015,"01","ELIANE NOVAES","Outros Serviços de Terceiros - Pessoa Jurídica",512.57
"43",2015,"01","ELIANE NOVAES","Serviços Gráficos e Editoriais",960
"44",2015,"01","ELIANE NOVAES","Vale-Refeição e Vale-Alimentação",4000
"45",2015,"01","ELY AGUIAR","Combustíveis e Lubrificantes Automotivos",6000
"46",2015,"01","ELY AGUIAR","Serviços Técnicos Profissionais",16000
"47",2015,"01","EVANDRO LEITAO","Divulgação das Atividades Parlamentares",4800
"48",2015,"01","EVANDRO LEITAO","Serviços Gráficos e Editoriais",7998.5
"49",2015,"01","EVANDRO LEITAO","Serviços Técnicos Profissionais",16000
"50",2015,"01","FERNANDA PESSOA","Combustíveis e Lubrificantes Automotivos",6000
"51",2015,"01","FERNANDA PESSOA","Divulgação das Atividades Parlamentares",1550
"52",2015,"01","FERNANDA PESSOA","Serviços Técnicos Profissionais",8200
"53",2015,"01","FERNANDA PESSOA","Serviços de Telecomunicações",620.5
"54",2015,"01","FERNANDA PESSOA","Vale-Refeição e Vale-Alimentação",4000
"55",2015,"01","FERNANDO HUGO","Combustíveis e Lubrificantes Automotivos",6000
"56",2015,"01","FERNANDO HUGO","Serviços Técnicos Profissionais",16000
